MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of ERK1 and ERK2 cascade			ISS	Q29W19 	J:342587 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		negative regulation of ERK1 and ERK2 cascade			ISO	Q15848 	J:164563 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		negative regulation of ERK1 and ERK2 cascade			ISS	Q15848 	J:342587 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		negative regulation of MAP kinase activity			IDA		J:169978 	
MGI:99401	Adora1	adenosine A1 receptor	1		positive regulation of MAPK cascade			IEA	ENSRNOP00000004602 P25099 	J:342605 	
MGI:99401	Adora1	adenosine A1 receptor	1		positive regulation of MAPK cascade			ISO	RGD:2048 	J:155856 	
MGI:99402	Adora2a	adenosine A2a receptor	10		positive regulation of ERK1 and ERK2 cascade			IEA	ENSRNOP00000001759 P30543 	J:342605 	
MGI:104773	Adra1a	adrenergic receptor, alpha 1a	14		MAPK cascade	happens in heart		IGI	MGI:104774 	J:83876 	
MGI:104773	Adra1a	adrenergic receptor, alpha 1a	14		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2055 	J:155856 	
MGI:104773	Adra1a	adrenergic receptor, alpha 1a	14		positive regulation of MAPK cascade			IBA	MGI:104773 P07550 P13945 P35348 P35368 PTN001205212 RGD:2055 	J:161428 	
MGI:104773	Adra1a	adrenergic receptor, alpha 1a	14		positive regulation of MAPK cascade	positively regulates MAPK cascade		IGI	MGI:104774 	J:83876 	
MGI:104773	Adra1a	adrenergic receptor, alpha 1a	14		positive regulation of MAPK cascade			ISO	P35348 	J:164563 	
MGI:104774	Adra1b	adrenergic receptor, alpha 1b	11		positive regulation of MAPK cascade			IBA	MGI:104773 P07550 P13945 P35348 P35368 PTN001205212 RGD:2055 	J:161428 	
MGI:104774	Adra1b	adrenergic receptor, alpha 1b	11		positive regulation of MAPK cascade			ISO	P35368 	J:164563 	
MGI:104774	Adra1b	adrenergic receptor, alpha 1b	11		positive regulation of MAPK cascade			ISS	P35368 	J:342587 	
MGI:106673	Adra1d	adrenergic receptor, alpha 1d	2		positive regulation of MAPK cascade			IBA	MGI:104773 P07550 P13945 P35348 P35368 PTN001205212 RGD:2055 	J:161428 	
MGI:87934	Adra2a	adrenergic receptor, alpha 2a	19		positive regulation of MAP kinase activity			ISO	P08913 	J:164563 	
MGI:87934	Adra2a	adrenergic receptor, alpha 2a	19		positive regulation of MAPK cascade			IEA	ENSP00000280155 P08913 	J:342605 	
MGI:87934	Adra2a	adrenergic receptor, alpha 2a	19		positive regulation of MAPK cascade			ISO	P08913 	J:164563 	
MGI:87935	Adra2b	adrenergic receptor, alpha 2b	2		MAPK cascade			IMP	MGI:1857118 	J:77486 	
MGI:87935	Adra2b	adrenergic receptor, alpha 2b	2		positive regulation of MAPK cascade			IEA	ENSP00000480573 P18089 	J:342605 	
MGI:87935	Adra2b	adrenergic receptor, alpha 2b	2		positive regulation of MAPK cascade			IEA	ENSRNOP00000018584 P19328 	J:342605 	
MGI:87935	Adra2b	adrenergic receptor, alpha 2b	2		positive regulation of MAPK cascade			ISO	RGD:2057 	J:155856 	
MGI:87935	Adra2b	adrenergic receptor, alpha 2b	2		positive regulation of MAPK cascade			ISO	P18089 	J:164563 	
MGI:87936	Adra2c	adrenergic receptor, alpha 2c	5		positive regulation of MAPK cascade			IEA	ENSP00000386069 P18825 	J:342605 	
MGI:87936	Adra2c	adrenergic receptor, alpha 2c	5		positive regulation of MAPK cascade			ISO	P18825 	J:164563 	
MGI:87937	Adrb1	adrenergic receptor, beta 1	19		positive regulation of MAPK cascade			IBA	MGI:104773 P07550 P13945 P35348 P35368 PTN001205212 RGD:2055 	J:161428 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		positive regulation of MAPK cascade			IBA	MGI:104773 P07550 P13945 P35348 P35368 PTN001205212 RGD:2055 	J:161428 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		positive regulation of MAPK cascade			ISO	P07550 	J:164563 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		positive regulation of MAPK cascade			ISS	P07550 	J:342587 	
MGI:87939	Adrb3	adrenergic receptor, beta 3	8		positive regulation of MAPK cascade			IBA	MGI:104773 P07550 P13945 P35348 P35368 PTN001205212 RGD:2055 	J:161428 	
MGI:87939	Adrb3	adrenergic receptor, beta 3	8		positive regulation of MAPK cascade			ISO	P13945 	J:164563 	
MGI:87939	Adrb3	adrenergic receptor, beta 3	8		positive regulation of MAPK cascade			ISS	P13945 	J:342587 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000364217 Q15109 	J:342605 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of ERK1 and ERK2 cascade			ISO	Q15109 	J:164563 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of JNK cascade			IEA	ENSP00000364217 Q15109 	J:342605 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of JNK cascade			ISO	Q15109 	J:164563 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of JUN kinase activity	happens in aortic endothelial cell		IMP	MGI:2451038 	J:149031 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of p38MAPK cascade			IEA	ENSP00000364217 Q15109 	J:342605 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of p38MAPK cascade			ISO	Q15109 	J:164563 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		regulation of p38MAPK cascade			IBA	MGI:893592 PTN000239960 Q15109 	J:161428 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		regulation of p38MAPK cascade	happens in entorhinal cortex,regulates long-term synaptic potentiation,happens in cerebral cortex neuron,is a part of cellular response to amyloid-beta		IGI	CPX-1134 	J:248440 	
MGI:87963	Agt	angiotensinogen	8		ERK1 and ERK2 cascade			ISO	RGD:2069 	J:155856 	
MGI:87963	Agt	angiotensinogen	8		MAPK cascade	happens in heart,happens in cardiac muscle cell		IMP	MGI:2136636 	J:41022 	
MGI:87963	Agt	angiotensinogen	8		negative regulation of MAP kinase activity			ISO	P01019 	J:164563 	
MGI:87963	Agt	angiotensinogen	8		positive regulation of MAPK cascade	positively regulates MAPK cascade		IMP	MGI:2136636 	J:41022 	
MGI:87963	Agt	angiotensinogen	8		stress-activated MAPK cascade			ISO	RGD:2069 	J:155856 	
MGI:1919737	Aida	axin interactor, dorsalization associated	1		negative regulation of JNK cascade			IMP		J:137475 	
MGI:1919737	Aida	axin interactor, dorsalization associated	1		negative regulation of JNK cascade			IPI	O35625 	J:137475 	
MGI:1919737	Aida	axin interactor, dorsalization associated	1		negative regulation of JNK cascade			ISO	Q6PBN2 	J:137475 	
MGI:1919737	Aida	axin interactor, dorsalization associated	1		negative regulation of JUN kinase activity			IDA		J:137475 	
MGI:1919737	Aida	axin interactor, dorsalization associated	1		negative regulation of JUN kinase activity			IMP		J:137475 	
MGI:1919737	Aida	axin interactor, dorsalization associated	1		negative regulation of JUN kinase activity			ISO	Q6PBN2 	J:137475 	
MGI:1919737	Aida	axin interactor, dorsalization associated	1		negative regulation of JUN kinase activity			ISO	Q96BJ3 	J:137475 	
MGI:1341886	Ajuba	ajuba LIM protein	14		positive regulation of MAP kinase activity			IDA		J:55014 	
MGI:1932576	Akap12	A kinase anchor protein 12	10		positive regulation of ERK1 and ERK2 cascade			IEA	ENSRNOP00000057494 Q5QD51 	J:342605 	
MGI:1932576	Akap12	A kinase anchor protein 12	10		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:70988 	J:155856 	
MGI:2676556	Akap13	A kinase anchor protein 13	7		MAPK cascade			IEA	GO:0005078 	J:346132 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		negative regulation of JNK cascade			ISO	RGD:2081 	J:155856 	
MGI:3645495	Alkal1	ALK and LTK ligand 1	1		positive regulation of ERK1 and ERK2 cascade			IBA	PTN002010604 Q6UX46 Q6UXT8 	J:161428 	
MGI:3645495	Alkal1	ALK and LTK ligand 1	1		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000351345 Q6UXT8 	J:342605 	
MGI:3645495	Alkal1	ALK and LTK ligand 1	1		positive regulation of ERK1 and ERK2 cascade			ISO	Q6UXT8 	J:164563 	
MGI:3645495	Alkal1	ALK and LTK ligand 1	1		positive regulation of ERK5 cascade			IBA	PTN002010604 Q6UX46 Q6UXT8 	J:161428 	
MGI:3645495	Alkal1	ALK and LTK ligand 1	1		positive regulation of ERK5 cascade			IEA	ENSP00000351345 Q6UXT8 	J:342605 	
MGI:3645495	Alkal1	ALK and LTK ligand 1	1		positive regulation of ERK5 cascade			ISO	Q6UXT8 	J:164563 	
MGI:3697448	Alkal2	ALK and LTK ligand 2	12		positive regulation of ERK1 and ERK2 cascade			IBA	PTN002010604 Q6UX46 Q6UXT8 	J:161428 	
MGI:3697448	Alkal2	ALK and LTK ligand 2	12		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000384604 Q6UX46 	J:342605 	
MGI:3697448	Alkal2	ALK and LTK ligand 2	12		positive regulation of ERK1 and ERK2 cascade			ISO	Q6UX46 	J:164563 	
MGI:3697448	Alkal2	ALK and LTK ligand 2	12		positive regulation of ERK5 cascade			IBA	PTN002010604 Q6UX46 Q6UXT8 	J:161428 	
MGI:3697448	Alkal2	ALK and LTK ligand 2	12		positive regulation of ERK5 cascade			IEA	ENSP00000384604 Q6UX46 	J:342605 	
MGI:3697448	Alkal2	ALK and LTK ligand 2	12		positive regulation of ERK5 cascade			ISO	Q6UX46 	J:164563 	
MGI:1274782	Alox12b	arachidonate 12-lipoxygenase, 12R type	11		positive regulation of MAPK cascade			ISO	O75342 	J:164563 	
MGI:1274782	Alox12b	arachidonate 12-lipoxygenase, 12R type	11		positive regulation of MAPK cascade			ISS	O75342 	J:342587 	
MGI:87997	Alox15	arachidonate 15-lipoxygenase	11		positive regulation of ERK1 and ERK2 cascade			ISO	P16050 	J:164563 	
MGI:87997	Alox15	arachidonate 15-lipoxygenase	11		positive regulation of ERK1 and ERK2 cascade			ISS	P16050 	J:342587 	
MGI:108448	Angpt1	angiopoietin 1	15		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000428340 Q15389 	J:342605 	
MGI:108448	Angpt1	angiopoietin 1	15		positive regulation of ERK1 and ERK2 cascade			ISO	Q15389 	J:164563 	
MGI:2154278	Ankrd6	ankyrin repeat domain 6	4		positive regulation of JNK cascade			IBA	A0A8M9P2G9 PTN008608947 	J:161428 	
MGI:1917887	Ankrd26	ankyrin repeat domain 26	6		ERK1 and ERK2 cascade	happens in adipocyte		IMP	MGI:3774418 	J:175461 	
MGI:1917887	Ankrd26	ankyrin repeat domain 26	6		negative regulation of ERK1 and ERK2 cascade	negatively regulates ERK1 and ERK2 cascade		IMP	MGI:3774418 	J:175461 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		MAPK cascade	happens in fibroblast		IGI	MGI:88276 	J:106576 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		MAPK cascade	happens in fibroblast		IMP		J:106576 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of MAPK cascade	negatively regulates MAPK cascade		IGI	MGI:88276 	J:106576 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of MAPK cascade	negatively regulates MAPK cascade		IMP		J:106576 	
MGI:3642370	Apela	apelin receptor early endogenous ligand	8		positive regulation of ERK1 and ERK2 cascade			ISS	P0DP76 	J:342587 	
MGI:1926788	Apip	APAF1 interacting protein	2		regulation of ERK1 and ERK2 cascade			IMP		J:196107 	
MGI:88057	Apoe	apolipoprotein E	7		negative regulation of MAP kinase activity			ISO	P02649 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000252486 P02649 	J:342605 	
MGI:88057	Apoe	apolipoprotein E	7		positive regulation of ERK1 and ERK2 cascade			ISO	P02649 	J:164563 	
MGI:88059	App	amyloid beta precursor protein	16		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000284981 P05067 	J:342605 	
MGI:88059	App	amyloid beta precursor protein	16		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2139 	J:155856 	
MGI:88059	App	amyloid beta precursor protein	16		positive regulation of ERK1 and ERK2 cascade			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta precursor protein	16		positive regulation of JNK cascade			IEA	ENSP00000284981 P05067 	J:342605 	
MGI:88059	App	amyloid beta precursor protein	16		positive regulation of JNK cascade			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta precursor protein	16		positive regulation of MAPK cascade			ISO	P05067 	J:164563 	
MGI:88064	Ar	androgen receptor	X		MAPK cascade	happens in mammary gland duct		IMP	MGI:2687199 	J:87193 	
MGI:88064	Ar	androgen receptor	X		positive regulation of MAPK cascade	positively regulates MAPK cascade		IMP	MGI:2687199 	J:87193 	
MGI:88065	Araf	Araf proto-oncogene, serine/threonine kinase	X		MAPK cascade			IBA	MGI:88190 P15056 PTN001147804 RGD:3531 	J:161428 	
MGI:88065	Araf	Araf proto-oncogene, serine/threonine kinase	X		MAPK cascade			IEA	GO:0004709 	J:346132 	
MGI:1920417	Arhgap8	Rho GTPase activating protein 8	15		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000348407 P85298 	J:342605 	
MGI:1858952	Arhgef5	Rho guanine nucleotide exchange factor 5	6		positive regulation of JUN kinase activity			ISO	Q12774 	J:164563 	
MGI:1929501	Arl6ip5	ADP-ribosylation factor-like 6 interacting protein 5	6		positive regulation of stress-activated MAPK cascade			IEA	ENSP00000273258 O75915 	J:342605 	
MGI:1929501	Arl6ip5	ADP-ribosylation factor-like 6 interacting protein 5	6		positive regulation of stress-activated MAPK cascade			ISO	O75915 	J:164563 	
MGI:99473	Arrb1	arrestin, beta 1	7		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:2156 	J:155856 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of ERK1 and ERK2 cascade			IBA	MGI:99473 P49407 PTN000209638 RGD:2156 	J:161428 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of ERK1 and ERK2 cascade			IMP		J:160042 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2156 	J:155856 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of ERK1 and ERK2 cascade			ISO	P49407 	J:164563 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of MAPK cascade			ISO	RGD:2156 	J:155856 	
MGI:99474	Arrb2	arrestin, beta 2	11		positive regulation of ERK1 and ERK2 cascade			IBA	P32121 PTN002623675 RGD:2157 	J:161428 	
MGI:99474	Arrb2	arrestin, beta 2	11		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000269260 P32121 	J:342605 	
MGI:99474	Arrb2	arrestin, beta 2	11		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2157 	J:155856 	
MGI:99474	Arrb2	arrestin, beta 2	11		positive regulation of ERK1 and ERK2 cascade			ISO	P32121 	J:164563 	
MGI:1929749	Asb3	ankyrin repeat and SOCS box-containing 3	11		positive regulation of JNK cascade			IBA	A0A8M9P2G9 PTN008608947 	J:161428 	
MGI:1926160	Asb15	ankyrin repeat and SOCS box-containing 15	6		positive regulation of JNK cascade			IBA	A0A8M9P2G9 PTN008608947 	J:161428 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		MAPK cascade	happens in macrophage		IMP		J:208213 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		negative regulation of MAPK cascade	negatively regulates MAPK cascade		IMP		J:208213 	
MGI:109349	Atf2	activating transcription factor 2	2		JNK cascade			IMP	MGI:3720850 	J:172398 	
MGI:109349	Atf2	activating transcription factor 2	2		JNK cascade	is a part of cellular response to virus		IMP		J:141299 	
MGI:109349	Atf2	activating transcription factor 2	2		MAPK cascade	is a part of cellular response to virus		IMP		J:141299 	
MGI:109349	Atf2	activating transcription factor 2	2		p38MAPK cascade			IGI	MGI:2443472 	J:123909 	
MGI:109349	Atf2	activating transcription factor 2	2		p38MAPK cascade			IMP	MGI:3720850 	J:172398 	
MGI:109349	Atf2	activating transcription factor 2	2		p38MAPK cascade	is a part of gene expression		IMP	MGI:3842320 	J:156376 	
MGI:109384	Atf3	activating transcription factor 3	1		negative regulation of ERK1 and ERK2 cascade			IMP		J:178067 	
MGI:2443472	Atf7	activating transcription factor 7	15		p38MAPK cascade			IGI	MGI:109349 	J:123909 	
MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	7		ERK1 and ERK2 cascade			IMP	MGI:4356167 	J:180250 	
MGI:1917745	Atp6ap2	ATPase, H+ transporting, lysosomal accessory protein 2	X		regulation of MAPK cascade			IEA	ENSP00000490083 O75787 	J:342605 	
MGI:1917745	Atp6ap2	ATPase, H+ transporting, lysosomal accessory protein 2	X		regulation of MAPK cascade			ISO	O75787 	J:164563 	
MGI:88116	Atp6v0c	ATPase, H+ transporting, lysosomal V0 subunit C	17		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:621394 	J:155856 	
MGI:88121	Avp	arginine vasopressin	2		ERK1 and ERK2 cascade			ISO	P01185 	J:164563 	
MGI:1916784	Avpi1	arginine vasopressin-induced 1	19		positive regulation of MAPK cascade			IBA	MGI:1916784 PTN002682860 	J:161428 	
MGI:1916784	Avpi1	arginine vasopressin-induced 1	19		positive regulation of MAPK cascade			IDA		J:88600 	
MGI:1347010	Avpr1b	arginine vasopressin receptor 1B	1		positive regulation of MAPK cascade			IEA	ENSP00000356094 P47901 	J:342605 	
MGI:1347010	Avpr1b	arginine vasopressin receptor 1B	1		positive regulation of MAPK cascade			ISO	P47901 	J:164563 	
MGI:1096327	Axin1	axin 1	17		positive regulation of JNK cascade			IMP	MGI:1856035 	J:137089 	
MGI:1096327	Axin1	axin 1	17		positive regulation of JNK cascade			IMP		J:137475 	
MGI:1096327	Axin1	axin 1	17		positive regulation of JUN kinase activity			IDA		J:85664 	
MGI:1096327	Axin1	axin 1	17		positive regulation of JUN kinase activity			IMP		J:85664 	
MGI:1096327	Axin1	axin 1	17		positive regulation of JUN kinase activity			IMP		J:96879 	
MGI:1096327	Axin1	axin 1	17		positive regulation of JUN kinase activity			ISO	P57094 	J:137475 	
MGI:2442120	Bank1	B cell scaffold protein with ankyrin repeats 1	3		MAPK cascade	happens in B-1 B cell		IMP	MGI:3686872 	J:207126 	
MGI:2442120	Bank1	B cell scaffold protein with ankyrin repeats 1	3		positive regulation of MAPK cascade	positively regulates MAPK cascade		IMP	MGI:3686872 	J:207126 	
MGI:1352501	Bcar3	breast cancer anti-estrogen resistance 3	3		positive regulation of MAPK cascade			IBA	O75815 PTN002682058 	J:161428 	
MGI:1352501	Bcar3	breast cancer anti-estrogen resistance 3	3		positive regulation of MAPK cascade			ISO	O75815 	J:164563 	
MGI:1352501	Bcar3	breast cancer anti-estrogen resistance 3	3		positive regulation of MAPK cascade			ISS	O75815 	J:342587 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3	NOT	positive regulation of JUN kinase activity			ISO	AF100338 	J:54313 	
MGI:1891828	Becn1	beclin 1, autophagy related	11		JNK cascade			IEA	ENSRNOP00000071966 Q91XJ1 	J:342605 	
MGI:1891828	Becn1	beclin 1, autophagy related	11		JNK cascade			ISO	RGD:620190 	J:155856 	
MGI:1891828	Becn1	beclin 1, autophagy related	11		p38MAPK cascade			IEA	ENSRNOP00000071966 Q91XJ1 	J:342605 	
MGI:1891828	Becn1	beclin 1, autophagy related	11		p38MAPK cascade			ISO	RGD:620190 	J:155856 	
MGI:2676458	Birc7	baculoviral IAP repeat-containing 7	2		positive regulation of JNK cascade			IEA	ENSP00000217169 Q96CA5 	J:342605 	
MGI:2676458	Birc7	baculoviral IAP repeat-containing 7	2		positive regulation of JNK cascade			ISO	Q96CA5 	J:164563 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		negative regulation of MAP kinase activity			ISO	P12643 	J:164563 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		positive regulation of ERK1 and ERK2 cascade			ISO	P12643 	J:164563 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		positive regulation of ERK1 and ERK2 cascade			ISS	P12643 	J:342587 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		positive regulation of MAPK cascade			ISO	P12643 	J:164563 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		positive regulation of p38MAPK cascade			IEA	ENSP00000368104 P12643 	J:342605 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		positive regulation of p38MAPK cascade			ISO	P12643 	J:164563 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		positive regulation of ERK1 and ERK2 cascade			IDA		J:142133 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		positive regulation of p38MAPK cascade			IEA	ENSP00000245451 P12644 	J:342605 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		positive regulation of p38MAPK cascade			ISO	P12644 	J:164563 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		regulation of ERK1 and ERK2 cascade			ISO	RGD:2213 	J:155856 	
MGI:1920480	Bmper	BMP-binding endothelial regulator	9		positive regulation of ERK1 and ERK2 cascade			IEA	ENSP00000497748 Q8N8U9 	J:342605 	
MGI:1920480	Bmper	BMP-binding endothelial regulator	9		positive regulation of ERK1 and ERK2 cascade			ISO	Q8N8U9 	J:164563 	
MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	2		ERK1 and ERK2 cascade			ISO	P01106 	J:164563 	
MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	2		MAPK cascade			ISO	P01106 	J:164563 	
MGI:109327	Bnip2	BCL2/adenovirus E1B interacting protein 2	9		positive regulation of MAPK cascade			IGI	MGI:1918084 	J:158573 	
MGI:109327	Bnip2	BCL2/adenovirus E1B interacting protein 2	9		positive regulation of MAPK cascade			IGI	MGI:1926387 	J:158573 	
MGI:109327	Bnip2	BCL2/adenovirus E1B interacting protein 2	9		positive regulation of MAPK cascade			IGI	MGI:88355 	J:158573 	
MGI:109327	Bnip2	BCL2/adenovirus E1B interacting protein 2	9		positive regulation of MAPK cascade			IMP		J:150538 	
MGI:88190	Braf	Braf transforming gene	6		ERK1 and ERK2 cascade	happens in hematopoietic multipotent progenitor cell		IMP	MGI:1857579 	J:117308 	
MGI:88190	Braf	Braf transforming gene	6		ERK1 and ERK2 cascade	happens in forebrain		IMP	MGI:3620008 MGI:3622450 	J:107042 	
MGI:88190	Braf	Braf transforming gene	6		ERK1 and ERK2 cascade	happens in CD4-positive, alpha-beta thymocyte,happens in double-positive, alpha-beta thymocyte		IMP	MGI:3711006 	J:194392 	
MGI:88190	Braf	Braf transforming gene	6		ERK1 and ERK2 cascade	happens in neuron		IMP		J:196950 	
MGI:88190	Braf	Braf transforming gene	6		ERK1 and ERK2 cascade	happens in fibroblast		IMP		J:91604 	
MGI:88190	Braf	Braf transforming gene	6		MAPK cascade			IBA	MGI:88190 P15056 PTN001147804 RGD:3531 	J:161428 	
MGI:88190	Braf	Braf transforming gene	6		MAPK cascade			ISO	P15056 	J:164563 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade			IDA		J:187371 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	positively regulates ERK1 and ERK2 cascade		IMP	MGI:1857579 	J:117308 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade			IMP	MGI:1857579 	J:131579 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	positively regulates ERK1 and ERK2 cascade		IMP	MGI:3620008 MGI:3622450 	J:107042 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	positively regulates ERK1 and ERK2 cascade		IMP	MGI:3711006 	J:194392 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	positively regulates ERK1 and ERK2 cascade		IMP		J:196950 	
